,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
Spain,-0.7039308265752671,-0.3369712861670804,-0.6098894962926538,-0.8690861659382948,1.4316982825020363,-0.36931019131820825,-0.01138220786448952,0.07486338667263234,-0.3650758911250769,0.6268262888293725,-0.21193062137544671,-0.3968931000948122
Andalusia,-0.8774522366226668,0.05073129522466445,-1.1692027904537217,-0.756817591135455,0.9957623871358449,-0.36931019131820825,0.3229701481548879,0.3563497205617297,-0.0019316184715612262,0.9488026339111267,-0.21193062137544671,-0.3968931000948122
Aragon,-0.6460903565594671,0.43843387661640926,-0.6098894962926538,-0.8690861659382948,1.0787977957770243,-0.9602064974273414,0.3229701481548879,-0.7695956149946598,-0.6071720728940874,1.5927553240746353,-0.21193062137544671,-0.3968931000948122
Asturias,-0.6460903565594671,-0.5308225768629528,-1.1692027904537217,-0.8316633076706815,0.9957623871358449,1.1079305739546248,-0.01138220786448952,0.3563497205617297,0.48226074506645966,0.9488026339111267,-0.21193062137544671,-0.3968931000948122
Basque country,-0.8196117666068669,-0.2982010280279059,-1.1692027904537217,-1.0187775990087478,2.0959815516314713,-0.8124824209000582,-0.7469573911071198,-0.4881092811055624,-0.9097923001053504,-0.9830554365793985,-0.11379525975331867,-0.3968931000948122
Cantabria,-0.7617712965910669,-0.4532820605846038,-0.050576202131585944,-0.38258900845932264,0.850450422013781,1.8465509565910412,-0.6800869199032443,0.637836054450827,0.119116472412944,0.6268262888293725,-0.21193062137544671,-0.3968931000948122
Castile & Leon,-0.8196117666068669,-0.5308225768629528,-0.8895461433731876,-0.7942404494030683,1.224109760899088,0.22158611479092494,-0.27886409267999146,-0.20662294721646504,0.7243569268354701,0.3048499437476183,-0.21193062137544671,-0.3968931000948122
Castile-La-Mancha,-0.7039308265752671,-0.5695928350021272,-0.8895461433731876,-0.906509024205908,1.3071451695402674,1.1079305739546248,0.2560996769510124,1.482295056118119,-0.6071720728940874,0.3048499437476183,-0.21193062137544671,-0.3968931000948122
Catalonia,-0.6460903565594671,-0.41451180244542934,-0.33023284921211987,-0.906509024205908,1.3279040217005622,0.07386203826364166,-0.078252679068365,0.07486338667263234,-0.18350375479831907,-0.3391027464158901,-0.21193062137544671,-0.3968931000948122
Extremadura,-0.4725689465120674,-0.2982010280279059,-0.6098894962926538,-1.0187775990087478,0.6428619004108326,0.22158611479092494,0.45671109056263887,-0.7695956149946598,1.0269771540467332,2.2367080142381437,-0.21193062137544671,-0.3968931000948122
Galicia,-0.5304094165278673,-0.4920523187237783,-0.33023284921211987,-1.0187775990087478,1.1825920565784984,-0.36931019131820825,-0.6132164486993689,-0.20662294721646504,1.4506454721425015,-0.6610790914976443,-0.21193062137544671,-0.3968931000948122
Valencia,-0.5304094165278673,-0.2594307698887314,-0.6098894962926538,-0.7942404494030683,1.2033509087387932,-0.9602064974273414,-0.27886409267999146,0.3563497205617297,0.42173669962420707,-0.017126401334135906,-0.21193062137544671,-0.3968931000948122
Sweden,3.402742544546527,-0.5695928350021272,0.7883937391100158,0.178753865554876,-0.5403926727259732,-0.9602064974273414,-0.7469573911071198,-0.7695956149946598,-0.8492682546630977,-0.9830554365793985,0.27874618673519347,0.10244850576061118
Gotland,4.906594764957325,-0.6859036094196507,1.9070203274321513,0.06648529075203628,-0.706463490008332,-1.255654650481908,-1.0813097471264972,-0.7695956149946598,-1.0913644364321082,0.3048499437476183,0.5731522716015776,0.13811576332171285
Switzerland,0.7420809238197309,-0.5695928350021272,3.305303562834821,-0.756817591135455,0.6428619004108326,0.9602064974273414,-0.6800869199032443,-0.4881092811055624,-0.3045518456828243,-0.6610790914976443,0.08247546349093739,-0.32555858497260887
Turkey-Anatolia,-0.7617712965910669,-0.37574154430625484,-0.8895461433731876,-0.4574347249945491,-0.7687400464892165,1.9942750331183245,2.1284728706595257,4.297158395009093,0.119116472412944,0.6268262888293725,0.18061082511306542,-0.11155503960599883
Ukraine,-0.4725689465120674,0.3221231021988858,-0.8895461433731876,2.349279645076444,-1.1216405332142287,-0.5170342678454916,-0.1451231502722405,-0.20662294721646504,-0.5466480274518347,-0.3391027464158901,-0.01565989813119064,0.13811576332171285
Wales,0.5107190437565312,-0.6083630931413018,0.5087370920294818,-0.9439318824735212,1.6392868041049848,-0.5170342678454916,-1.0144392759226217,-0.7695956149946598,-0.7282201637785926,-0.3391027464158901,-0.21193062137544671,-0.3968931000948122
